CanonicalName,BinomialName,Order,Family,Genus,Species,Domestication,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X13.1_AdultHeadBodyLen_mm,X3.1_AgeatFirstBirth_d,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X17.1_MaxLongevity_m,X21.1_PopulationDensity_n_per_km2,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X6.2_TrophicLevel,X25.1_WeaningAge_d,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MatingSystem,YearRoundBreeding,AVGBodyMass,DevelopmentStrategy,HeadOrnaments,Lifespan,CarryWeight,AVGMovingSpeed,AVGTravelDistance,PredationPressure,PopulationDensity
Kobus_kob,Kobus_kob,Artiodactyla,Bovidae,Kobus,kob,0,NA,80035.21,1700,395.41,1,254.76,1,99.57,NA,1,263.04,2.6,465.57,40,4,1,188.64,3,2,1,1,NA,NA,80,2,1,21,16007.042,NA,99.57,1,0.854
Kobus_leche,Kobus_leche,Artiodactyla,Bovidae,Kobus,leche,0,2,88645.04,NA,638.75,2,229.8,2,NA,NA,1,222.96,31,925.38,20,4,1,133.45,3.52,2,1,3,NA,2,88,NA,1,15,17729.008,NA,NA,0,1.077
Kobus_megaceros,Kobus_megaceros,Artiodactyla,Bovidae,Kobus,megaceros,0,NA,85805.93,NA,NA,NA,NA,NA,NA,NA,NA,224.04,0.34,NA,NA,4,NA,NA,3.4,2,1,1,2,2,85,2,1,15,17161.186,NA,NA,1,0.394
Kobus_vardonii,Kobus_vardonii,Artiodactyla,Bovidae,Kobus,vardonii,0,2,71462.72,1340,NA,2,258.09,1,NA,365,1,NA,4.78,NA,5.5,4,1,212.91,2.84,1,2,3,2,1,71,1,1,NA,14292.544,NA,20,0,0.788
Lama_glama_guanicoe,Lama_glama,Artiodactyla,Camelidae,Lama,glama,1,3,78322.67,1595.1,NA,2,342.74,1,NA,NA,1,339.6,0.45,676.66,20,NA,1,131.7,5,2,1,2,2,1,78,1,0,15,15664.534,60,26,1,1.049
Litocranius_walleri,Litocranius_walleri,Artiodactyla,Bovidae,Litocranius,walleri,0,3,38804.37,1500,562.7,1,204.15,1,NA,240.77,1,156,0.43,841.82,8,NA,1,NA,2,1,2,3,2,2,38,2,1,13,7760.874,56,2.5,1,0.116
Madoqua_guentheri,Madoqua_guentheri,Artiodactyla,Bovidae,Madoqua,guentheri,0,3,4623.7,612.07,NA,6,175,1,0.03,NA,0.98,168,14.01,138.6,6.25,4,1,74.25,0.16,2,2,4,NA,NA,4,2,1,13,924.74,42,0.03,1,4.217
Madoqua_kirkii,Madoqua_kirkii,Artiodactyla,Bovidae,Madoqua,kirkii,0,2,4833.4,654.27,501.87,5,171.49,1,NA,182.5,0.98,198,19,233.47,2.5,4,1,42.58,0.16,2,2,4,1,2,4,2,1,14,966.68,42,0.18,1,2.294
Madoqua_saltiana,Madoqua_saltiana,Artiodactyla,Bovidae,Madoqua,saltiana,0,2,3424.47,595,NA,2,NA,NA,NA,NA,1,168,NA,253.75,1.5,4,1,41.99,136,2,2,4,NA,NA,3.4,2,1,14,684.894,NA,NA,NA,11.87
Mazama_americana,Mazama_americana,Artiodactyla,Cervidae,Mazama,americana,0,2,20546.86,NA,NA,2,225,1,NA,NA,1.22,165.6,9.3,NA,1,NA,1,NA,0.82,1,2,4,NA,1,20.5,NA,1,13,4109.372,NA,1,0,1.89
Mazama_gouazoubira,Mazama_gouazoubira,Artiodactyla,Cervidae,Mazama,gouazoubira,0,2,16633.17,918.25,NA,2,219.86,1,NA,NA,1,144,9.21,719.06,1,NA,1,NA,664,1,2,4,1,1,16.6,1,1,13,3326.634,NA,NA,0,4.356
Mazama_nana,Mazama_nana,Artiodactyla,Cervidae,Mazama,nana,0,NA,16499.85,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,4,NA,NA,16.5,NA,1,NA,3299.97,NA,NA,NA,4.873
Mazama_rufina,Mazama_rufina,Artiodactyla,Cervidae,Mazama,rufina,0,NA,21099.25,NA,NA,NA,231.64,1,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,844,NA,NA,4,NA,NA,21.1,NA,1,NA,4219.85,NA,NA,0,4.731
Muntiacus_muntjak,Muntiacus_muntjak,Artiodactyla,Cervidae,Muntiacus,muntjak,0,2,17611.59,994.99,NA,3,210,NA,NA,241,1,211.2,3.12,338.33,NA,NA,1,NA,0.7,1,2,4,NA,1,17.61,NA,1,17,3522.318,NA,NA,0,3.858
Muntiacus_reevesi,Muntiacus_reevesi,Artiodactyla,Cervidae,Muntiacus,reevesi,0,NA,13499.94,NA,NA,2,214.24,NA,0.12,215.25,0.98,NA,0.67,295.12,NA,NA,1,NA,0.54,1,2,4,2,1,13.49,1,1,19,2699.988,NA,0.16,0,4.568
Nanger_granti,Nanger_granti,Artiodactyla,Bovidae,Nanger,granti,0,2,55464.46,1529.99,NA,2,191.21,1,NA,NA,1,152.04,3.92,249.81,NA,NA,1,NA,2,2,1,1,2,1,55.46,2,0,19,11092.892,NA,290,1,0.735
Nanger_soemmerringii,Nanger_soemmerringii,Artiodactyla,Bovidae,Nanger,soemmerringii,0,3,41582.93,1360,802.23,NA,192.53,1,NA,NA,1,186,5.47,413.84,NA,NA,NA,NA,1.67,NA,NA,3,NA,NA,41.58,NA,0,19,8316.586,NA,NA,NA,1.404
Neotragus_batesi,Neotragus_batesi,Artiodactyla,Bovidae,Neotragus,batesi,0,2,2967.45,540,365,4,181.24,1,NA,NA,1,168,NA,366.52,NA,4,1,NA,0.12,1,2,4,NA,1,2.96,2,1,19,593.49,NA,0.03,0,15.643
Neotragus_pygmaeus,Neotragus_pygmaeus,Artiodactyla,Bovidae,Neotragus,pygmaeus,0,2,3913.68,499.99,NA,4,180,NA,NA,NA,1,168,NA,NA,2,4,1,NA,0.15,NA,NA,4,NA,NA,3.91,NA,1,13,782.736,NA,0.02,0,7.269
Odocoileus_hemionus,Odocoileus_hemionus,Artiodactyla,Cervidae,Odocoileus,hemionus,0,NA,84560.57,1516.5,547.5,2,203.49,1,2.01,365,1.61,264,16,527.12,NA,NA,1,73.49,1.9,2,2,3,NA,NA,84.56,NA,1,22,16912.114,30,2.01,0,6.366
Odocoileus_virginianus,Odocoileus_virginianus,Artiodactyla,Cervidae,Odocoileus,virginianus,0,2,75901.25,1513.69,463,4,201.39,1,1.99,304.16,1.57,276,17.32,365,2.25,4,1,79.92,1.7,2,1,3,2,2,75.9,1,1,23,15180.25,56,1.99,0,7.666
Oreamnos_americanus,Oreamnos_americanus,Artiodactyla,Bovidae,Oreamnos,americanus,0,2,72105.4,1297.33,1095,2,181.24,1,18.17,365,1.4,230.04,NA,964.59,3,4,1,84.86,2.89,2,1,1,2,2,72.1,2,0,19,14421.08,NA,18.17,1,1.249
Oreotragus_oreotragus,Oreotragus_oreotragus,Artiodactyla,Bovidae,Oreotragus,oreotragus,0,2,13486.55,824.99,NA,4,214,1,NA,365,0.98,213.96,2.62,371.23,2,4,1,136.87,0.54,2,2,4,1,2,13.48,1,0,17,2697.31,NA,0.081,1,0.303
Oryx_gazella,Oryx_gazella,Artiodactyla,Bovidae,Oryx,gazella,0,2,188404.45,1615,866.87,5,273.75,1,NA,NA,1,240,9.88,841.82,20,4,1,NA,8,1,1,1,2,1,188,1,0,20,37680.89,60,19,1,1.043
Oryx_leucoryx,Oryx_leucoryx,Artiodactyla,Bovidae,Oryx,leucoryx,0,NA,75788.24,NA,NA,5,239.99,1,NA,NA,1,240,NA,NA,5,NA,1,58.46,3,1,1,2,NA,NA,75,NA,0,20,15157.648,NA,200,0,0.443
Ourebia_ourebi,Ourebia_ourebi,Artiodactyla,Bovidae,Ourebia,ourebi,0,3,17186.09,1160,674.33,3,210.5,1,NA,182.5,0.98,189.96,2.43,372.09,2,4,1,136.87,0.56,2,2,4,2,1,17,2,1,15,3437.218,50,0.26,1,0.647
Ovibos_moschatus,Ovibos_moschatus,Artiodactyla,Bovidae,Ovibos,moschatus,0,3,312500,NA,1277.5,2,256.26,1,NA,547.5,1.01,288,0.31,1262.74,12.5,4,1,254.48,6.24,1,1,2,2,2,312,1,0,24,62500,50,135.5,0,0.838
Ovis_ammon,Ovis_ammon,Artiodactyla,Bovidae,Ovis,ammon,0,NA,113998.72,1585,NA,2,165,1,4.59,365,1.22,180.96,0.02,555.47,NA,NA,1,76.61,4.52,2,1,3,3,2,113,NA,0,24,22799.744,60,4.59,0,0.567
Ovis_aries_orientalis,Ovis_aries,Artiodactyla,Bovidae,Ovis,aries,1,3,39097.89,1297.23,730,2,152.54,NA,NA,365,1.19,230.04,33,831.62,35,NA,1,182.5,1,2,1,1,3,2,39,2,0,24,7819.578,40,1,NA,NA
Ovis_canadensis,Ovis_canadensis,Artiodactyla,Bovidae,Ovis,canadensis,0,2,74644.87,1565.5,301.5,2,177.49,1,18.94,365,1.16,288,1.48,761.25,9,2,1,130.8,3,2,1,3,2,2,74,2,0,20,14928.974,48,18.94,1,1.654
Ovis_dalli,Ovis_dalli,Artiodactyla,Bovidae,Ovis,dalli,0,NA,70194.13,1415.02,730,2,172.49,1,10.15,365,1.22,192,NA,748.37,9.5,2,1,121.66,2.8,2,1,3,NA,NA,70,2,0,20,14038.826,NA,10.15,1,1.268
Ozotoceros_bezoarticus,Ozotoceros_bezoarticus,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,0,NA,34620.4,1224.74,NA,3,220.38,1,6.16,317.08,1,NA,NA,350.76,3.5,NA,1,362.93,1.36,2,2,1,NA,2,34,NA,1,21,6924.08,NA,6.16,1,3.137
Pecari_tajacu,Pecari_tajacu,Artiodactyla,Tayassuidae,Pecari,tajacu,0,2,21133.69,889.34,350,5,144.88,1,1.37,155,1.56,296.4,7.92,315.68,20,8,1,47.25,0.85,2,2,1,NA,NA,21.13,NA,0,24,4226.738,35,1.37,1,3.984
Pelea_capreolus,Pelea_capreolus,Artiodactyla,Bovidae,Pelea,capreolus,0,3,22731.33,NA,NA,2,260.99,1,NA,NA,1,147.96,18.71,NA,10.25,4,1,NA,0.91,2,1,2,2,2,22.73,2,1,12,4546.266,NA,0.6,1,3.099
Phacochoerus_aethiopicus,Phacochoerus_aethiopicus,Artiodactyla,Suidae,Phacochoerus,aethiopicus,0,3,75607.52,NA,730,4,165.4,1,1.35,365,3.2,225.6,7.61,631.12,2,NA,1,106.45,3,2,1,3,3,2,75.6,1,0,18,15121.504,55,1.35,1,0.627
Phacochoerus_africanus,Phacochoerus_africanus,Artiodactyla,Suidae,Phacochoerus,africanus,0,3,82499.99,1355.54,NA,1,172.49,NA,1.55,NA,NA,180,NA,NA,NA,4,1,NA,3,2,2,3,3,2,82.4,2,0,18,16499.998,55,1.55,0,0.967
Philantomba_maxwellii,Philantomba_maxwellii,Artiodactyla,Bovidae,Philantomba,maxwellii,0,2,8557.69,845.23,1095,7,205,1,NA,NA,1,147,5.97,344.87,1.95,4,2,60.48,0.34,1,2,4,1,2,8.5,2,0,18,1711.538,NA,NA,0,2.714
Philantomba_monticola,Philantomba_monticola,Artiodactyla,Bovidae,Philantomba,monticola,0,3,4896.05,692.3,577.91,3,205,1,NA,265,0.98,144,35.98,351.59,1.9,4,2,27.28,0.19,2,2,4,1,1,4.89,1,0,18,979.21,NA,0.04,1,3.623
Potamochoerus_larvatus,Potamochoerus_larvatus,Artiodactyla,Suidae,Potamochoerus,larvatus,0,1,69063.79,NA,NA,7,121.73,1,4.47,NA,2.73,NA,0.4,NA,8,NA,2,NA,2.76,2,1,2,2,2,69,1,0,NA,13812.758,NA,4.47,1,0.954
Potamochoerus_porcus,Potamochoerus_porcus,Artiodactyla,Suidae,Potamochoerus,porcus,0,2,70000.31,1369.3,NA,5,120,1,NA,365,3,240,0.23,1113.7,10.56,6,2,NA,2.8,NA,2,2,NA,2,70,NA,0,20,14000.062,NA,4,0,0.354
Procapra_picticaudata,Procapra_picticaudata,Artiodactyla,Bovidae,Procapra,picticaudata,0,NA,23197.67,980,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA,3,NA,NA,23,NA,1,NA,4639.534,NA,NA,0,2.606
Pseudois_nayaur,Pseudois_nayaur,Artiodactyla,Bovidae,Pseudois,nayaur,0,3,52334.57,1299.99,730,2,159.74,1,NA,NA,1.22,288,2.49,420.91,NA,2,1,NA,2.08,2,2,3,NA,2,52,2,0,15,10466.914,NA,NA,0,1.316
Pudu_puda,Pudu_puda,Artiodactyla,Cervidae,Pudu,puda,0,2,9642.62,NA,NA,4,210,1,0.17,NA,1.22,150,NA,229.14,NA,NA,1,54.75,0.39,1,1,4,2,2,9.64,1,1,21,1928.524,NA,0.17,0,5.281
Rangifer_tarandus,Rangifer_tarandus,Artiodactyla,Cervidae,Rangifer,tarandus,1,3,109088.5,2224.35,NA,3,222.5,NA,2771.22,365,2,242.4,2.55,758.71,2.2,NA,1,136.87,6,2,2,3,2,2,109,1,0,20,21817.7,70,2771.22,1,0.492
Raphicerus_campestris,Raphicerus_campestris,Artiodactyla,Bovidae,Raphicerus,campestris,0,3,11661.53,824.99,NA,5,210,1,0.43,219,0.98,168,1.27,233.81,2,4,1,49.89,464,2,2,4,NA,1,11.6,2,1,20,2332.306,NA,0.43,1,0.363
Raphicerus_melanotis,Raphicerus_melanotis,Artiodactyla,Bovidae,Raphicerus,melanotis,0,1,10503.14,NA,NA,2,NA,1,NA,NA,NA,168,10.5,NA,1.5,4,1,NA,0.42,1,2,4,NA,1,10.5,2,1,20,2100.628,NA,0.029,0,2.333
Raphicerus_sharpei,Raphicerus_sharpei,Artiodactyla,Bovidae,Raphicerus,sharpei,0,1,9396.9,679.99,NA,3,212.91,1,NA,NA,1,168,0.51,NA,1.5,4,1,NA,0.37,1,2,4,NA,1,9.39,2,1,20,1879.38,NA,0.34,1,0.396
Redunca_arundinum,Redunca_arundinum,Artiodactyla,Bovidae,Redunca,arundinum,0,2,58059.24,1505,NA,2,220.52,1,NA,273.75,0.98,201,0.65,NA,1.75,4,1,NA,2.32,2,1,1,1,1,58,2,1,20,11611.848,NA,0.28,1,0.465
Redunca_fulvorufula,Redunca_fulvorufula,Artiodactyla,Bovidae,Redunca,fulvorufula,0,2,29352.66,1230,NA,1,222.99,1,0.07,352.83,NA,147.96,7.77,326.81,4.75,4,1,82.12,1.16,2,2,2,2,2,29,2,1,12,5870.532,NA,0.07,1,0.345
Redunca_redunca,Redunca_redunca,Artiodactyla,Bovidae,Redunca,redunca,0,2,43288.95,1150,NA,1,228.12,1,NA,NA,1,216,1.03,NA,NA,4,1,NA,1.72,NA,2,3,NA,1,43,2,1,18,8657.79,NA,0.25,1,0.203
Rhinoceros_unicornis,Rhinoceros_unicornis,Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,0,2,1843655.8,3743.39,2618.87,3,478.99,2,4.23,909.45,1.41,588,3.33,2069.22,1,NA,1,339.47,36.86,NA,2,4,NA,NA,1843,NA,0,47,368731.16,55,4.23,0,1.728
Rucervus_duvaucelii,Rucervus_duvaucelii,Artiodactyla,Cervidae,Rucervus,duvaucelii,0,2,171223.86,1500,1095,2,245,2,14.11,NA,1,NA,11.24,827.69,64.25,NA,1,NA,6.84,2,1,1,2,2,171,1,1,20,34244.772,48,14.11,0,3.658
Rupicapra_pyrenaica,Rupicapra_pyrenaica,Artiodactyla,Bovidae,Rupicapra,pyrenaica,0,NA,29999.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,2,1,3,NA,2,29,2,0,NA,5999.998,50,0.49,0,2.704
Rupicapra_rupicapra,Rupicapra_rupicapra,Artiodactyla,Bovidae,Rupicapra,rupicapra,0,NA,33266.35,NA,1368.75,2,178.32,1,2.65,365,1,264,NA,642.64,1,4,1,76.04,1,1,1,3,2,2,33.2,2,0,47,6653.27,50,2.65,0,4.663
Rusa_timorensis,Rusa_timorensis,Artiodactyla,Cervidae,Rusa,timorensis,0,1,66375.5,1634.99,NA,2,250.29,NA,NA,366,1,NA,NA,666.44,NA,NA,1,227.47,2.65,2,2,3,2,2,66.3,1,1,NA,13275.1,NA,NA,0,1.162
Rusa_unicolor,Rusa_unicolor,Artiodactyla,Cervidae,Rusa,unicolor,0,2,177522.9,2040,788.4,3,246,NA,NA,NA,1,317.04,4.89,620.76,NA,NA,1,NA,7.08,1,2,3,2,1,177,1,1,47,35504.58,NA,7.55,0,3.763
Sus_barbatus,Sus_barbatus,Artiodactyla,Suidae,Sus,barbatus,0,2,135805.95,1349.99,NA,6,114.63,1,NA,NA,6.59,NA,NA,362.5,6.25,12,2,105.85,5.4,NA,2,3,NA,NA,135,NA,0,12,27161.19,NA,NA,0,2.311
Sus_cebifrons,Sus_cebifrons,Artiodactyla,Suidae,Sus,cebifrons,0,2,190792.3,1349.99,NA,6,125.14,NA,NA,NA,4.58,NA,NA,283.18,4.5,12,2,105.85,7.6,NA,NA,2,NA,NA,190,NA,0,NA,38158.46,NA,NA,NA,0.446
Sus_philippensis,Sus_philippensis,Artiodactyla,Suidae,Sus,philippensis,0,2,190792.3,1349.99,NA,6,125.14,NA,NA,NA,6.24,NA,NA,283.18,3.75,12,2,105.85,7.6,NA,NA,2,NA,NA,190,NA,0,NA,38158.46,NA,NA,NA,0.405
Sus_scrofa,Sus_scrofa,Artiodactyla,Suidae,Sus,scrofa,1,2,84471.54,1349.99,312,5,115.2,NA,1.18,230,4.52,252,3.54,350.76,13,11,2,97.88,3.36,2,2,3,2,1,84,1,0,21,16894.308,48,1.18,0,4.234
Sylvicapra_grimmia,Sylvicapra_grimmia,Artiodactyla,Bovidae,Sylvicapra,grimmia,0,2,15639.15,960.71,608.33,4,174.89,1,NA,234,0.98,171.96,2.42,293.14,1,4,1,60.83,0.6,1,2,4,NA,1,15,2,1,14,3127.83,NA,1,1,0.268
Syncerus_caffer,Syncerus_caffer,Artiodactyla,Bovidae,Syncerus,caffer,0,2,592665.98,2525.86,1460,1,337.49,1,63.73,638.75,1.08,354,5.84,1683.65,12,NA,1,319.37,11.84,2,1,1,3,1,592,1,0,29,118533.196,57,63.73,1,1.177
Tapirus_bairdii,Tapirus_bairdii,Perissodactyla,Tapiridae,Tapirus,bairdii,0,2,293781.59,2199.99,NA,4,396.24,1,1.15,NA,1,NA,0.34,710.47,1,NA,1,362.93,5.86,1,2,4,1,1,293,2,0,NA,58756.318,NA,1.15,0,0.488
Tapirus_pinchaque,Tapirus_pinchaque,Perissodactyla,Tapiridae,Tapirus,pinchaque,0,2,156923.4,NA,NA,4,393.99,1,6.38,NA,1,NA,0.27,1113.7,NA,NA,1,339.47,6.24,1,2,4,NA,NA,156,NA,0,29,31384.68,NA,6.38,0,1.163
Tapirus_terrestris,Tapirus_terrestris,Perissodactyla,Tapiridae,Tapirus,terrestris,0,2,169496.64,2004.97,NA,5,395.41,1,NA,NA,1,420,0.85,862.17,1,2,2,277.49,6.76,1,2,4,NA,1,169,1,0,35,33899.328,NA,NA,0,0.727
Taurotragus_oryx,Taurotragus_oryx,Artiodactyla,Bovidae,Taurotragus,oryx,0,2,562592.69,2656.78,958.12,3,271,1,195.15,337,1,300,1.64,672.49,4.05,NA,1,128.68,22.48,1,1,1,NA,NA,562,2,0,23,112518.538,70,195.15,1,0.372
Tayassu_pecari,Tayassu_pecari,Artiodactyla,Tayassuidae,Tayassu,pecari,0,2,31798.71,1110,NA,6,158,1,40.97,NA,2,252,1.59,684.67,NA,4,2,13.64,1.24,2,2,1,NA,1,31,NA,0,21,6359.742,NA,40.97,0,5.79
Tragelaphus_angasii,Tragelaphus_angasii,Artiodactyla,Bovidae,Tragelaphus,angasii,0,2,87616.76,1935.86,695.78,4,219.99,1,1.63,297,1,192,126.94,645.51,15.5,NA,1,212.91,3.48,2,2,1,NA,1,87,2,1,16,17523.352,NA,1.63,1,2.167
Tragelaphus_buxtoni,Tragelaphus_buxtoni,Artiodactyla,Bovidae,Tragelaphus,buxtoni,0,2,215000.75,2249.44,NA,1,NA,1,NA,NA,1,132,80.5,755.15,15,NA,1,NA,8.6,2,1,3,2,2,215,2,1,16,43000.15,72,12.5,0,1.904
Tragelaphus_eurycerus,Tragelaphus_eurycerus,Artiodactyla,Bovidae,Tragelaphus,eurycerus,0,2,270998.37,2274.99,NA,4,284.99,1,NA,NA,1,233,0.4,887.46,13.5,NA,1,NA,5.4,1,2,1,NA,NA,270,1,0,19,54199.674,70,34,1,0.162
Tragelaphus_imberbis,Tragelaphus_imberbis,Artiodactyla,Bovidae,Tragelaphus,imberbis,0,NA,94320.39,1675,1115.07,3,222,1,NA,258.54,1,227,0.35,666.44,3,NA,1,NA,3.76,1,2,3,NA,NA,94,2,1,19,18864.078,70,3.55,1,0.165
Tragelaphus_scriptus,Tragelaphus_scriptus,Artiodactyla,Bovidae,Tragelaphus,scriptus,0,2,43250.39,1247.1,644.15,4,182.5,2,0.02,235.72,1,156,1.52,431.61,1,NA,1,NA,1.72,1,2,3,NA,NA,43,2,1,12,8650.078,NA,0.02,1,0.236
Tragelaphus_spekii,Tragelaphus_spekii,Artiodactyla,Bovidae,Tragelaphus,spekii,0,2,75554.25,1520.84,608.33,2,241.15,2,NA,352.83,1,258,1.66,619.06,6,NA,1,NA,3,2,2,3,NA,1,75,1,1,21,15110.85,NA,NA,0,0.617
Tragelaphus_strepsiceros,Tragelaphus_strepsiceros,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,0,3,206056.41,2199.99,912.5,2,220.94,1,835.1,365,1,276,1.06,665.38,12,NA,1,182.5,8,1,2,3,NA,NA,206,2,1,22,41211.282,NA,835.1,1,0.233
Tragulus_javanicus,Tragulus_javanicus,Artiodactyla,Tragulidae,Tragulus,javanicus,0,1,1889.93,514.29,NA,3,158.55,NA,NA,NA,0.98,144,NA,157.32,1,4,1,21,72,NA,2,3,NA,1,1.8,NA,0,12,377.986,NA,0.051,NA,13.212
Tragulus_napu,Tragulus_napu,Artiodactyla,Tragulidae,Tragulus,napu,0,1,5273.67,562.36,250.93,3,154.24,NA,NA,152.08,0.96,195.96,NA,156.25,NA,4,1,84.86,0,1,2,4,NA,1,5.27,1,0,16,1054.734,NA,0.13,0,7.65
Vicugna_vicugna,Vicugna_vicugna,Artiodactyla,Camelidae,Vicugna,vicugna,1,3,47499.61,1575,1140.62,1,345.45,1,0.12,547.5,1,297.6,3.1,941.19,10,NA,1,309.89,2,2,2,2,2,2,47.4,1,0,28,9499.922,65,0.12,0,1.738
